zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(0, 0, 0)","(0, 0, 0, 12)",,5924.2,5927.6,395446.4
20002,"(0, 0, 0)","(0, 0, 1, 12)",,5473.9,5480.5,379658.0
20002,"(0, 0, 0)","(0, 0, 2, 12)",,8709.1,8718.8,28449668.8
20002,"(0, 0, 0)","(0, 1, 0, 12)",,4739.7,4743.0,99050.9
20002,"(0, 0, 0)","(0, 1, 1, 12)",,4466.9,4473.4,99035.7
20002,"(0, 0, 0)","(0, 1, 2, 12)",,4046.6,4056.0,454366188.4
20002,"(0, 0, 0)","(1, 0, 0, 12)",,4716.0,4722.6,104807.8
20002,"(0, 0, 0)","(1, 0, 1, 12)",,4644.9,4654.8,93126.1
20002,"(0, 0, 0)","(1, 0, 2, 12)",,5198.7,5211.6,25289671.7
20002,"(0, 0, 0)","(1, 1, 0, 12)",,4305.5,4312.0,198398.1
20002,"(0, 0, 0)","(1, 1, 1, 12)",,4285.3,4295.0,199128.7
20002,"(0, 0, 0)","(1, 1, 2, 12)",,4756.8,4769.5,811457624.8
20002,"(0, 0, 0)","(2, 0, 0, 12)",,4304.5,4314.2,188635.5
20002,"(0, 0, 0)","(2, 0, 1, 12)",,4585.4,4598.4,85698175.4
20002,"(0, 0, 0)","(2, 0, 2, 12)",,6603.9,6620.1,27112267.7
20002,"(0, 0, 0)","(2, 1, 0, 12)",,3989.6,3999.1,251047.5
20002,"(0, 0, 0)","(2, 1, 1, 12)",,3991.8,4004.5,246894.6
20002,"(0, 0, 0)","(2, 1, 2, 12)",,4653.3,4669.1,42932158.3
20002,"(0, 0, 1)","(0, 0, 0, 12)",,16519.1,16525.8,394838.0
20002,"(0, 0, 1)","(0, 0, 1, 12)",,5383.7,5393.5,929395.1
20002,"(0, 0, 1)","(0, 0, 2, 12)",,8078.1,8091.0,28300635.7
20002,"(0, 0, 1)","(0, 1, 0, 12)",,4583.5,4590.1,97683.7
