zipcode,model,order,sorder,trend,AIC,BIC,CV_RMSE
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE5B390>,"(0, 0, 0)","(0, 0, 0, 12)",,6451.807147819694,6455.15900595317,1225880.6580795478
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACB00B70>,"(0, 0, 0)","(0, 0, 1, 12)",,5969.665963267824,5976.252572917273,1144356.381941851
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACB00518>,"(0, 0, 0)","(0, 0, 2, 12)",,5606.614881894207,5616.308207744772,1135561.748119837
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAE7940>,"(0, 0, 0)","(0, 1, 0, 12)",,5089.12230971627,5092.415614540994,179231.64313374783
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACB006D8>,"(0, 0, 0)","(0, 1, 1, 12)",,4795.256232651319,4801.718449885028,179228.23569382398
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAE7978>,"(0, 0, 0)","(0, 1, 2, 12)",,4414.045721229857,4423.540079151628,2357748.350227453
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAD6BE0>,"(0, 0, 0)","(1, 0, 0, 12)",,5071.413019720494,5078.00965445359,172018.6332562046
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAE74A8>,"(0, 0, 0)","(1, 0, 1, 12)",,5030.815797793546,5040.6957122677195,191445.51707030996
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAD6E48>,"(0, 0, 0)","(1, 0, 2, 12)",,4694.890449898245,4707.814884365663,393555.06324756145
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACADE518>,"(0, 0, 0)","(1, 1, 0, 12)",,4697.936301145347,4704.4091850710065,539422.5774276662
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACADE240>,"(0, 0, 0)","(1, 1, 1, 12)",,6430.233656850385,6439.926982700949,18668946368223.043
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACADE908>,"(0, 0, 0)","(1, 1, 2, 12)",,5546.589736267535,5559.248880163229,42141852907.6873
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAF0A20>,"(0, 0, 0)","(2, 0, 0, 12)",,4694.20365200432,4703.91297789281,287678.65523662977
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACADE7B8>,"(0, 0, 0)","(2, 0, 1, 12)",,4691.69224894795,4704.63801679927,67319174660.436134
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAF0828>,"(0, 0, 0)","(2, 0, 2, 12)",,4656.5785907821555,4672.734133866428,1646695634.6465287
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAF8EB8>,"(0, 0, 0)","(2, 1, 0, 12)",,4406.3388027118845,4415.8502546969985,277686.6101307441
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAF0518>,"(0, 0, 0)","(2, 1, 1, 12)",,5790.02828900811,5802.710224988263,258024.90374996787
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAF8BE0>,"(0, 0, 0)","(2, 1, 2, 12)",,5397.242257719585,5413.066187589202,4769372250.112262
